246415 	 SonicYan 	 amour 	 14236 	 2056 	 26 	 1 	 Aujourd'hui, cela fait quelques week-ends que je passe à monter la vidéo du mariage de mon meilleur ami. Il s'est marié il y a plus d'un an et j'étais un peu en retard pour mon DVD surprise. Quand je suis arrivé chez lui (Paris-Montréal) pour le lui montrer, il m'a annoncé qu'il comptait divorcer... VDM 
246408 	 ano 	 sante 	 14428 	 615 	 43 	 1 	 Aujourd'hui, mon frère a passé plusieurs examens à l'hosto à cause de problèmes digestifs. Il a expliqué que dans la famille, nous avions tous des maux de ventre réguliers. Résultat : le médecin nous a tous conviés à une série d'analyses, dont une coloscopie. Belle sortie familiale en vue... VDM 
246328 	 UnluckyBoy 	 sexe 	 14663 	 3282 	 91 	 1 	 Aujourd'hui, j'ai une amie qui vient à la maison. J'ai fait les courses et acheté pour le repas un concombre (entre autres choses), et pour le reste de la soirée, si cela se passe bien, du lubrifiant. Or, les deux sont passés l'un après l'autre à la caisse... Je ne vous dis pas le sourire de la caissière... VDM 
246324 	 Roger 	 inclassable 	 17326 	 895 	 54 	 1 	 Aujourd'hui, j'ai un méchant rhume. Les aliments et boissons n'ont plus aucun goût. Il est regrettable que ça tombe le jour où je participe à une formation œnologique à plus de 200 € avec dégustation de 25 grands crus. VDM 
246197 	 pomponette 	 inclassable 	 16913 	 1456 	 97 	 1 	 Aujourd'hui et tous les matins, j'attends que ma moitié se prépare : douche, lait hydratant, masque bonne mine, crème, habillage... En moyenne, 45 minutes. Je réussis à faire tout ça en 15 minutes alors pourquoi pas LUI ? VDM 
246121 	 FashionLuv' 	 enfants 	 15860 	 1580 	 36 	 1 	 Aujourd'hui, un petit garçon m'a dit texto : "Quand je s'rai grand, j'aurai d'la moustache comme toi !" Je suis une fille. VDM 
246098 	 SuperNanny 	 enfants 	 15707 	 653 	 31 	 1 	 Aujourd'hui, le petit garçon de 4 ans que je garde est venu me faire un gros câlin. Soudain, je sens une odeur bizarre. C'est à ce moment qu'il me dit : "J'ai pas réussi à m'essuyer, y'en a partout sur les mains." VDM 
245914 	 dinde 	 inclassable 	 13209 	 1176 	 35 	 1 	 Aujourd'hui, j'ai retrouvé le paquet de blancs de dinde porté disparu depuis 48 h. Dans la photocopieuse. Ah oui, c'est vrai... Ma fille avait besoin de photocopier l'étiquette pour son cours de SVT. VDM 
245890 	 poissard_chronik 	 inclassable 	 15885 	 1612 	 48 	 1 	 Aujourd'hui, professeur stagiaire, je remplace la directrice. Avant d'aller en récréation, les élèves passent aux toilettes. Un petit garçon vient me voir car il n'arrive pas à fermer son pantalon. En remontant sa braguette, je lui coince "la chose". Cet élève, c'est le fils de la directrice. VDM 
245845 	 Alucard 	 inclassable 	 12259 	 2832 	 31 	 1 	 Aujourd'hui, dans les allées du métro, j'entends une rame qui arrive. Ni une ni deux, je force le pas pour ne pas la rater. Là, je me fais dépasser par une petite vieille. Stupéfait, je ralentis. Elle a eu le métro, pas moi. VDM 
